city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Athens,37.9794,23.7161,Greece,GR,Attikí,primary,664046,664046
Piraeus,37.9500,23.7000,Greece,GR,Attikí,minor,466065,175697
Thessaloníki,40.6333,22.9500,Greece,GR,Kentrikí Makedonía,admin,315196,315196
Pátra,38.2500,21.7333,Greece,GR,Dytikí Elláda,admin,167446,167446
Lárisa,39.6385,22.4131,Greece,GR,Thessalía,admin,144651,144651
Irákleio,35.3333,25.1333,Greece,GR,Kríti,admin,140730,140730
Peristéri,38.0167,23.6833,Greece,GR,Attikí,minor,139981,139981
Kallithéa,37.9500,23.7000,Greece,GR,Attikí,minor,100641,100641
Níkaia,37.9667,23.6333,Greece,GR,Attikí,minor,89380,89380
Glyfáda,37.8800,23.7533,Greece,GR,Attikí,minor,87305,87305
Vólos,39.3611,22.9425,Greece,GR,Thessalía,minor,86046,86046
Chalándri,38.0167,23.8000,Greece,GR,Attikí,minor,74192,74192
Kalamáta,37.0389,22.1142,Greece,GR,Peloponnísos,minor,71823,51108
Néa Ionía,38.0333,23.7500,Greece,GR,Attikí,minor,67134,67134
Ioánnina,39.6647,20.8519,Greece,GR,Ípeiros,admin,65574,65574
Tríkala,39.5500,21.7667,Greece,GR,Thessalía,minor,61653,61653
Chalkída,38.4625,23.5950,Greece,GR,Stereá Elláda,minor,59125,59125
Sérres,41.0833,23.5500,Greece,GR,Kentrikí Makedonía,minor,58287,58287
Alexandroúpoli,40.8500,25.8667,Greece,GR,Anatolikí Makedonía kai Thráki,minor,57812,57812
Ródos,36.4412,28.2225,Greece,GR,Notío Aigaío,minor,56969,56128
Xánthi,41.1333,24.8833,Greece,GR,Anatolikí Makedonía kai Thráki,minor,56122,56122
Kateríni,40.2667,22.5000,Greece,GR,Kentrikí Makedonía,minor,55997,55997
Kavála,40.9396,24.4069,Greece,GR,Anatolikí Makedonía kai Thráki,minor,54027,54027
Chaniá,35.5167,24.0167,Greece,GR,Kríti,minor,53910,53910
Lamía,38.8972,22.4311,Greece,GR,Stereá Elláda,admin,52006,52006
Komotiní,41.1167,25.4000,Greece,GR,Anatolikí Makedonía kai Thráki,admin,50990,50990
Agrínio,38.6167,21.4000,Greece,GR,Dytikí Elláda,minor,46899,46899
Dráma,41.1514,24.1392,Greece,GR,Anatolikí Makedonía kai Thráki,minor,44823,44823
Véroia,40.5203,22.2019,Greece,GR,Kentrikí Makedonía,minor,43158,43158
Kozáni,40.3007,21.7890,Greece,GR,Dytikí Makedonía,admin,41066,41066
Kardítsa,39.3647,21.9219,Greece,GR,Thessalía,minor,38554,38554
Réthymno,35.3667,24.4667,Greece,GR,Kríti,minor,32468,32468
Trípoli,37.5083,22.3750,Greece,GR,Peloponnísos,admin,30866,30866
Kórinthos,37.9333,22.9333,Greece,GR,Peloponnísos,minor,30176,30176
Giannitsá,40.7962,22.4145,Greece,GR,Kentrikí Makedonía,minor,29789,29789
Mytilíni,39.1114,26.5621,Greece,GR,Voreío Aigaío,admin,29328,28322
Chíos,38.3725,26.1375,Greece,GR,Voreío Aigaío,minor,26850,26850
Néa Filadélfeia,38.0350,23.7381,Greece,GR,Attikí,minor,25734,25734
Salamína,37.9333,23.5000,Greece,GR,Attikí,minor,25370,25370
Elefsína,38.0414,23.5453,Greece,GR,Attikí,minor,24910,24910
Kérkyra,39.6239,19.9214,Greece,GR,Ionía Nísia,admin,24838,24838
Pýrgos,37.6667,21.4333,Greece,GR,Dytikí Elláda,minor,24359,24359
Mégara,38.0000,23.3333,Greece,GR,Attikí,minor,23456,23456
Kilkís,40.9954,22.8765,Greece,GR,Kentrikí Makedonía,minor,22914,22914
Péfki,38.0667,23.8000,Greece,GR,Attikí,minor,21415,21415
Livadeiá,38.4333,22.8667,Greece,GR,Stereá Elláda,minor,21379,21379
Kos,36.8442,27.1572,Greece,GR,Notío Aigaío,minor,19244,18691
Préveza,38.9500,20.7500,Greece,GR,Ípeiros,minor,19042,19042
Orestiáda,41.5000,26.5333,Greece,GR,Anatolikí Makedonía kai Thráki,minor,18426,18426
Édessa,40.8000,22.0500,Greece,GR,Kentrikí Makedonía,minor,18229,18229
Spárti,37.0819,22.4236,Greece,GR,Peloponnísos,minor,16187,15497
Thérmi,40.5472,23.0197,Greece,GR,Kentrikí Makedonía,minor,16004,16004
Alexándreia,40.6283,22.4454,Greece,GR,Kentrikí Makedonía,minor,14821,14821
Paianía,37.9500,23.8500,Greece,GR,Attikí,minor,14595,14595
Náfplio,37.5667,22.8000,Greece,GR,Peloponnísos,minor,14203,14203
Náfpaktos,38.3917,21.8275,Greece,GR,Dytikí Elláda,minor,13415,13415
Kastoriá,40.5181,21.2688,Greece,GR,Dytikí Makedonía,minor,13387,13387
Kálymnos,36.9512,26.9832,Greece,GR,Notío Aigaío,minor,12324,12324
Ermoúpoli,37.4504,24.9333,Greece,GR,Notío Aigaío,admin,12260,12260
