Title,Date,Body,Type
«Ντου» της ΕΛ.ΑΣ σε κλαμπ στο Γκάζι - «300 άτομα γονατιστά με τα χέρια στο κεφάλι»,2019-11-11,"Σκηνές από ταινία θα μπορούσαν να θυμίζουν τα όσα συνέβησαν το βράδυ του Σαββάτου (9/11) σε γνωστό νυχτερινό κέντρο διασκέδασης στο Γκάζι, στο πλαίσιο επιχειρήσεων της ΕΛ. ΑΣ. κατά της εγκληματικότητας και ελέγχων για ναρκωτικά. Με μία μακροσκελή ανάρτησή του στο Facebook, dj Γιώργος Απέργης περιέγραψε την έφοδο των αστυνομικών στο κλαμπ. «Μετά από 25 χρόνια εμπειρίας και ενασχόλησης στον χώρο της ηλεκτρονικής dance σκηνής και απόλυτα καθαρός από ναρκωτικές ουσίες όλα αυτά τα χρόνια, το οποίο είναι και ευρέως γνωστό, δέχεσαι επίθεση μέσα σε έναν νόμιμο χώρο διασκέδασης», γράφει ο γνωστός dj και προσθέτει : «Το βράδυ του Σαββάτου ήμουν καλεσμένος να παίξω μουσική σε κλαμπ στην Αθήνα στο Γκάζι. Από νωρίς εκεί με χαρά μου διαπίστωσα ότι οι θαμώνες ήταν αρκετά νέοι υγιείς clubbers γύρω στα 20 χρόνια και κάποιοι μεγαλύτεροι, οι οποίοι ξεχώριζαν, καθώς αποδείχτηκε στο τέλος ότι ήταν οι περισσότεροι της δίωξης. Έχοντας συνεργασία με τον χώρο και έως διοργανωτής στο πρόσφατο παρελθόν, γνωρίζω το τεράστιο κόστος το οποίο δαπανάται σε security για την αποφυγή φασαριών και χρήσης ουσιών, το οποίο είναι εμφανές σε όλο τον χώρο. Μετά το dj set μου και ενώ έχεις πιει 2-3 ποτά και έχοντας θετικά συναισθήματα, καθώς είσαι κάτω από την επιρροή της δυνατής μουσικής και των φωτορυθμικών, γίνεται &quot;ντου&quot; από δέκα άτομα που μπήκαν με βρισιές μέσα στο μαγαζί, δημιουργώντας πανικό και φόβο στον κόσμο. Δίνοντας διαταγές όπως &quot;γονατίστε τώρα&quot; τα χέρια στα κεφάλια όλοι! Μην έχοντας συνειδητοποιήσει τι ακριβώς είναι, αυτοί νομίζεις ότι γίνεται τρομοκρατική επίθεση τύπου Μπατακλάν ή είναι ληστεία τύπου τράπεζας. Νιώθοντας φυσικά τον φόβο ότι εάν κουνηθείς σε σκότωσαν. Περνώντας τα λεπτά συνειδητοποιείς ότι είναι της Δίωξης. Για μια ώρα η εικόνα είναι μια: 300 άτομα γονατιστά με τα χέρια στο κεφάλι σαν έτοιμα για εκτέλεση μέσα σε χώρο διασκέδασης. Ντροπή και αποτροπιασμός. Μετά μια ώρα και μην έχοντας τη δυνατότητα να μιλήσεις ούτε στον διπλανό σου, ούτε στο τηλέφωνο, ούτε να κουνηθείς, ελέγχεσαι και βγαίνεις από το μαγαζίΗ εικόνα έξω η ίδια: 10 άτομα στημένα με την πλάτη στον τοίχο και τα χέρια ανοιχτά, έτοιμα σαν για εκτέλεση από τoυς ναζί, στους γύρω δρόμους 10 αυτοκίνητα, 3 πούλμαν και γύρω στους 60 αστυνομικούς να την έχουν πέσει λες και βρήκαν την γιάφκα με τους τρομοκράτες. Μια καθαρά επίθεση στην ελευθερία της έκφρασης της προσωπικής αξιοπρέπειας με στόχο τον εναλλακτικό χώρο της ηλεκτρονικής μουσικής. Δευτέρα σήμερα και νέα από τους περισσότερους φίλους μου δεν έχω και πραγματικά μου κάνει εντύπωση πως σχεδόν κανένας από τους θαμώνες δεν έχει αναρτήσει τίποτα. Ο φασισμός και η τρομοκρατία δεν θα περάσουν!».",ΝΑΡΚΩΤΙΚΑ
Χαλκίδα: Τέσσερις συλλήψεις για ναρκωτικά,2014-05-10,"Συνελήφθησαν την Παρασκευή σε διάφορες περιοχές της Χαλκίδας, έπειτα από συστηματικούς αστυνομικούς ελέγχους που πραγματοποιούνται καθημερινά για την καταπολέμηση της διάδοσης των ναρκωτικών, τρεις Έλληνες, ηλικίας 42, 35 και 34 ετών, καθώς και ένας 29χρονος υπήκοος Αλβανίας, οι οποίοι κατηγορούνται για κατοχή ναρκωτικών ουσιών. Ειδικότερα, στην πρώτη περίπτωση, έπειτα από έλεγχο που διενεργήθηκε το απόγευμα της Παρασκευής, από αστυνομικούς της Β&#039; Ο. Π. Κ. Ε. Ευβοίας στον 42χρονο και στον 35χρονο, κατελήφθησαν να κατέχουν από κοινού δύο αυτοσχέδιες νάιλον συσκευασίες που περιείχαν ποσότητα ηρωίνης, συνολικού μικτού βάρους 2,4 γραμμαρίων, οι οποίες κατασχέθηκαν. Στη δεύτερη περίπτωση, έπειτα από έλεγχο που διενεργήθηκε αργά το απόγευμα της ίδιας ημέρας στον 29χρονο, βρέθηκαν στην κατοχή του και κατασχέθηκαν δύο αυτοσχέδιες νάιλον συσκευασίες, οι οποίες περιείχαν ποσότητα ηρωίνης, συνολικού μικτού βάρους 0,6 του γραμμαρίου, καθώς και ένα φαρμακευτικό δισκίο, για την αγορά του οποίου απαιτείται ιατρική συνταγή. Νωρίτερα, συνελήφθη ο 34χρονος, καθώς βρέθηκε στην κατοχή του και κατασχέθηκε μία αυτοσχέδια νάιλον συσκευασία με ποσότητα ηρωίνης, μικτού βάρους 0,3 του γραμμαρίου. Οι συλληφθέντες, με τις σε βάρος τους σχηματισθείσες δικογραφίες, θα οδηγηθούν στον εισαγγελέα πρωτοδικών Χαλκίδας.",ΝΑΡΚΩΤΙΚΑ
«Μπλόκο» σε 298 κιλά χασίς στην Εθνική Οδό Ιωαννίνων-Κακαβιάς,2014-05-11,"Νέα μεγάλη ποσότητα χασίς βάρους 298 κιλών, κατασχέθηκε τα ξημερώματα στην Εθνική Οδό Ιωαννίνων-Κακαβιάς στο ύψος του χωριού Νεγάδες. Οι αστυνομικοί είχαν στήσει μπλόκο στην Εθνική Οδό, και σε έλεγχο που πραγματοποίησαν στο αυτοκίνητο που οδηγούσε ένας 26χρονος Αλβανός εντόπισαν αμέσως την ποσότητα του χασίς που ήταν συσκευασμένη σε δέματα. Το αυτοκίνητο και τα ναρκωτικά κατασχέθηκαν, ενώ ο Αλβανός οδηγός, ο οποίος κατηγορείται για διακίνηση ναρκωτικών θα οδηγηθεί στον Εισαγγελέα.",ΝΑΡΚΩΤΙΚΑ
Αμφιλοχία: Σύλληψη 41χρονου για ναρκωτικά,2014-05-11,"Κατασχέθηκαν 45 ναρκωτικά χάπιαΣυνελήφθη το απόγευμα της Παρασκευής, στην Αμφιλοχία, από Αστυνομικούς του Τμήματος Δίωξης Ναρκωτικών Αγρινίου, ένας ημεδαπός άνδρας, ηλικίας 41 ετών σε βάρος του όποιου σχηματίστηκε δικογραφία για κατοχή ναρκωτικών φαρμακευτικών δισκίων. Ειδικότερα σε έλεγχο που ενήργησαν οι αστυνομικοί του Τμήματος Δίωξης Ναρκωτικών Αγρινίου, στον 41χρονο ο οποίος ήταν πεζός, βρήκαν και κατάσχεσαν συνολικά 45 ναρκωτικά χάπια. Σύμφωνα με το agrinionews, ο συλληφθείς οδηγήθηκε στον Εισαγγελέα Πλημμελειοδικών Αγρινίου.",ΝΑΡΚΩΤΙΚΑ
Συλλήψεις για ναρκωτικά στη Βέροια,2014-05-12,"Δύο άτομα ηλικίας 38 και 62 ετών συνελήφθησαν για ναρκωτικά στη Βέροια. Στην κατοχή τους βρέθηκε μικροποσότητα ακατέργαστης κάνναβης και μία αυτοσχέδια πίπα με υπολείμματα της ίδιας ναρκωτικής ουσίας. Ακολούθως σε έρευνα που πραγματοποιήθηκε στο σπίτι του 62χρονου, οι αστυνομικοί βρέθηκαν μπροστά σε μια καλλιέργεια κάνναβης. Ο 62χρονος είχε τροποποιήσει τμήμα του κήπου του σπιτιού, στο οποίο καλλιεργούσε 73 δενδρύλλια κάνναβης, ύψους έως 45 εκατοστών, τα οποία και κατασχέθηκαν. Επίσης, σε ειδική κρύπτη εντοπίσθηκε ποσότητα ακατέργαστης κάνναβης περίπου 2,5 κιλών. Οι συλληφθέντες αναμένεται να οδηγηθούν στη δικαιοσύνη, ενώ προανάκριση για την υπόθεση διενεργεί το τμήμα Ασφάλειας Βέροιας.",ΝΑΡΚΩΤΙΚΑ
Θεσσαλονίκη: Επτά συλλήψεις για ναρκωτικά,2014-05-14,"Στη σύλληψη επτά ατόμων για ναρκωτικές ουσίες προχώρησαν οι αστυνομικές δυνάμεις στη Θεσσαλονίκη, στο πλαίσιο ελέγχων που πραγματοποίησαν για την αντιμετώπιση της παραβατικότητας. Συγκεκριμένα, το τελευταίο 24ωρο, πραγματοποιήθηκαν στοχευμένοι έλεγχοι κατά τη διάρκεια των οποίων:-Συνελήφθησαν επτά άτομα, σε βάρος των οποίων σχηματίστηκαν δικογραφίες, για παραβάσεις του Νόμου «Περί Εξαρτησιογόνων ουσιών». -Κατασχέθηκαν ποσότητες χασίς, ηρωίνης και ναρκωτικών δισκίων. Οι συλληφθέντες θα οδηγηθούν στον Εισαγγελέα Πλημμελειοδικών Θεσσαλονίκης.",ΝΑΡΚΩΤΙΚΑ
Μετέτρεψε το σπίτι του στο Μετς σε φυτώριο και εργαστήριο skunk (pics),2014-05-14,"Σε φυτώριο και οργανωμένο εργαστήριο καλλιέργειας υδροπονικής κάνναβης (SKUNK) είχε μετατρέψει το σπίτι του στο Μετς ένας 49χρονος, ο οποίος συνελήφθη χτες από αστυνομικούς της Δίωξης Ναρκωτικών Αττικής. Συγκεκριμένα, σε ειδικά διαμορφωμένους χώρους μέσα στο σπίτι του, αλλά και στην ταράτσα, στην οποία είχε αποκλειστική πρόσβαση, ο 49χρονος είχε εγκαταστήσει εργαστήριο καλλιέργειας δενδρυλλίων κάνναβης σε πλαστικές γλάστρες, χρησιμοποιώντας την υδροπονική μέθοδο. Το εργαστήριο ήταν πλήρως εξοπλισμένο, με τεχνητό φωτισμό για τη δημιουργία κατάλληλων συνθηκών για την ωρίμανση των φυτών, προκειμένου να υπάρχει παραγωγή και συγκομιδή καθ&#039; όλη τη διάρκεια του έτους. Συνολικά κατασχέθηκαν: 107 φυτά υδροπονικής κάνναβης ύψους από 50 έως 180 εκατοστά, ένα κιλό κάνναβης υδροπονικής καλλιέργειας, 28 κλωνάρια υδροπονικής κάνναβης μήκους από 35 έως 120 εκ. τα οποία ήταν προς αποξήρανση, μία συσκευασία με σπόρους υδροπονικής κάνναβης, μία ηλεκτρονική ζυγαριά ακριβείας, 27 γλάστρες με φυτά υδροπονικής κάνναβης, ύψους από 5 έως 8 εκατοστά, άλλες 108 γλάστρες άδειες και τέσσερα τετράδια με ιδιόχειρες σημειώσεις για την καλλιέργεια και ανάπτυξη της υδροπονικής κάνναβης. Επίσης, κατασχέθηκε ο εξοπλισμός του εργαστηρίου, που αποτελείτο από δύο συσκευές εξαερισμού με σωλήνες, τρεις ανεμιστήρες, ένα στύλο φωτισμού, τέσσερις κρεμαστές συσκευές φωτισμού, ποτιστήρι, λιπάσματα και διάφορα εργαλεία. Ο συλληφθείς οδηγήθηκε στον Εισαγγελέα Πλημμελειοδικών Αθηνών.",ΝΑΡΚΩΤΙΚΑ
Συλλήψεις για ναρκωτικά σε Πιερία και Σέρρες,2014-05-15,"Συνελήφθη χθες το πρωί, από αστυνομικούς του Τμήματος Δίωξης Ναρκωτικών Κατερίνης, ένας 54χρονος, για κατοχή ναρκωτικών ουσιών και καλλιέργεια δενδρυλλίων κάνναβης. Ειδικότερα, σε χωριό της Πιερίας, κατόπιν αξιοποίησης πληροφοριών σε αστυνομικό έλεγχο του 54χρονου βρέθηκε και κατασχέθηκε ένα αυτοσχέδιο ημιτελές τσιγάρο που περιείχε τρίμματα ακατέργαστης κάνναβης και το οποίο έκανε χρήση εκείνη τη στιγμή. Ακολούθως, σε έρευνα της οικίας του προαναφερόμενου βρέθηκαν και κατασχέθηκαν:• οκτώ συσκευασίες με ακατέργαστη κάνναβη συνολικού μικτού βάρους 40,9 γραμμαρίων και• 8 δενδρύλλια κάνναβης ύψους από 18 έως 45 εκατοστών, τα οποία καλλιεργούσε στον κήπο της οικίας του και εκριζώθηκαν. Προανάκριση διενεργείται από το Τμήμα Δίωξης Ναρκωτικών Κατερίνης. Ο συλληφθείς θα οδηγηθεί στον Εισαγγελέα Πλημμελειοδικών Κατερίνης. Επίσης χθες το πρωί, στις Σέρρες, από αστυνομικούς της Ομάδας Πρόληψης και Καταστολής Εγκληματικότητας Σερρών, συνελήφθη ένας άντρας 54 ετών, διότι στην κατοχή του βρέθηκε και κατασχέθηκε μία συσκευασία με ακατέργαστη κάνναβη μικτού βάρους 2,5 γραμμαρίων. Προανάκριση διενεργείται από το Τμήμα Δίωξης Ναρκωτικών Σερρών.",ΝΑΡΚΩΤΙΚΑ
Πάτρα: Εντοπίστηκε μεγάλη ποσότητα κοκαΐνης σε φορτηγό,2014-05-15,"Μεγάλη ποσότητα κοκαΐνης εντόπισαν άνδρες του κεντρικού λιμεναρχείου της Πάτρας, ύστερα από έλεγχο που έκαναν σε φορτηγό. Συγκεκριμένα, οι λιμενικοί, αφού σταμάτησαν για έλεγχο το φορτηγό στο χώρο του λιμανιού βρήκαν μέσα σε σακίδιο πλάτης, στο χώρο της καμπίνας του οδηγού, έξι πλαστικές συσκευασίες, οι οποίες περιείχαν περίπου πέντε κιλά κοκαΐνης. Οι λιμενικοί συνέλαβαν τον 49χρονο οδηγό του φορτηγού, ενώ σε εξέλιξη βρίσκονται οι έρευνες, προκειμένου να διακριβωθεί το δρομολόγιο του φορτηγού, καθώς και το ποια άλλα άτομα εμπλέκονται στην υπόθεση μεταφοράς της κοκαΐνης. Διαβάστε ακόμα:Μετέτρεψε το σπίτι του στο Μετς σε φυτώριο και εργαστήριο skunk (pics)",ΝΑΡΚΩΤΙΚΑ
Σύλληψη για ναρκωτικά στα Εξαμίλια Κορινθίας,2014-05-16,"Οργανωμένη επιχείρηση της Αστυνομίας στον νομό Κορινθίας. Συνελήφθη στα Εξαμίλια Κορινθίας ένας 34χρονος, γιατί κατά τη διάρκεια οργανωμένης αστυνομικής επιχείρησης, αστυνομικοί της ασφάλειας, έκαναν έλεγχο στο σπίτι του, όπου βρήκαν συνολικά στην κατοχή του, τέσσερα φυτά χασίς, καθώς και είκοσι έξι ναρκωτικά χάπια τα οποία κατασχέθηκαν. Ο 34χρονος θα οδηγηθεί στον Εισαγγελέα Κορίνθου.",ΝΑΡΚΩΤΙΚΑ
